Results of soil water balance simulation:
                                                                                                         Soil
                                                                         Pot.  Actual  Actual    Soil   Water          Excess
  Day   Solar     Max     Min                                          Evapo-    Soil   Plant   Water Content Drought   Water
   of    Rad.    Temp    Temp    Rain   Irrig  Runoff   Infil   Drain   Trans   Evap.  Trans. content   (mm3/  Stress  Stress
 Year (MJ/m2)    (oC)    (oC)    (mm)    (mm)    (mm)    (mm)    (mm)    (mm)    (mm)    (mm)    (mm)    mm3)  Factor  Factor
    0     0.0     0.0     0.0    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  246.50   1.700   1.000   1.000
    1     5.1    20.0     4.4   23.90    0.00    0.00   23.90    0.00    1.06    1.06    0.01  269.34   1.857   1.000   1.000
    2    10.8    13.3     1.1    0.00    0.00    0.00    0.00    2.28    1.97    1.96    0.02  265.08   1.828   1.000   1.000
    3    12.1    14.4     1.1    0.00    0.00    0.00    0.00    1.86    2.25    2.23    0.02  260.97   1.800   1.000   1.000
    4     3.6    18.3     6.1   14.70    0.00    0.00   14.70    1.45    0.75    0.74    0.01  273.48   1.886   1.000   1.000
    5    12.8    17.2     5.6    0.80    0.00    0.00    0.80    2.70    2.60    2.57    0.02  268.98   1.855   1.000   1.000
    6    12.4    21.1     5.0    0.00    0.00    0.00    0.00    2.25    2.64    2.62    0.02  264.09   1.821   1.000   1.000
    7    11.1    21.7     7.2    0.00    0.00    0.00    0.00    1.76    2.43    2.41    0.02  259.90   1.792   1.000   1.000
    8    12.0    21.7     8.3    0.00    0.00    0.00    0.00    1.34    2.66    2.63    0.02  255.90   1.765   1.000   1.000
    9     6.1    20.0     8.3    0.00    0.00    0.00    0.00    0.94    1.32    1.31    0.01  253.64   1.749   1.000   1.000
   10     3.5    23.3    11.1    3.80    0.00    0.00    3.80    0.71    0.81    0.80    0.01  255.92   1.765   1.000   1.000
   11    13.5    19.4     2.8    0.00    0.00    0.00    0.00    0.94    2.75    2.73    0.02  252.22   1.739   1.000   1.000
   12    14.1    15.0    -2.2    0.00    0.00    0.00    0.00    0.57    2.56    2.53    0.02  249.09   1.718   1.000   1.000
   13    13.3    20.6     3.9    0.00    0.00    0.00    0.00    0.26    2.79    2.76    0.03  246.05   1.697   1.000   1.000
   14    12.1    23.3     2.8    0.00    0.00    0.00    0.00    0.00    2.61    2.57    0.02  243.45   1.679   1.000   1.000
   15     8.1    26.1    11.1    0.00    0.00    0.00    0.00    0.00    1.94    1.89    0.02  241.54   1.666   1.000   1.000
   16     5.3    24.4    14.4    6.30    0.00    0.00    6.30    0.00    1.28    1.23    0.01  246.60   1.701   1.000   1.000
   17     4.6    21.1    14.4    2.80    0.00    0.00    2.80    0.01    1.07    1.06    0.01  248.33   1.713   1.000   1.000
   18     9.7    27.8    11.1    0.00    0.00    0.00    0.00    0.18    2.37    2.35    0.02  245.77   1.695   1.000   1.000
   19     3.7    26.1     9.4    5.10    0.00    0.00    5.10    0.00    0.87    0.86    0.01  250.00   1.724   1.000   1.000
   20     8.0    17.8    10.0    0.00    0.00    0.00    0.00    0.35    1.71    1.69    0.02  247.95   1.710   1.000   1.000
   21     1.8    17.8     8.9   15.50    0.00    0.00   15.50    0.14    0.38    0.38    0.00  262.92   1.813   1.000   1.000
   22     5.5    16.1     8.3   33.00    0.00    0.00   33.00    1.64    1.13    1.12    0.01  293.15   2.022   1.000   1.000
   23    15.4    10.0     1.1    0.00    0.00    0.00    0.00    4.67    2.66    2.64    0.02  285.82   1.971   1.000   1.000
   24    13.6    16.1    -2.8    0.00    0.00    0.00    0.00    3.93    2.49    2.47    0.02  279.40   1.927   1.000   1.000
   25     3.2    17.8     6.1    0.00    0.00    0.00    0.00    3.29    0.66    0.65    0.01  275.45   1.900   1.000   1.000
   26     5.5    17.2     5.0    0.00    0.00    0.00    0.00    2.89    1.11    1.10    0.01  271.44   1.872   1.000   1.000
   27    15.9     8.9    -1.1    0.00    0.00    0.00    0.00    2.49    2.63    2.61    0.02  266.32   1.837   1.000   1.000
   28     7.6    17.8    -1.1    0.00    0.00    0.00    0.00    1.98    1.46    1.44    0.01  262.88   1.813   1.000   1.000
   29    14.4    21.7     2.8    0.00    0.00    0.00    0.00    1.64    3.03    3.01    0.03  258.21   1.781   1.000   1.000
   30    10.9    22.8    10.0    0.00    0.00    0.00    0.00    1.17    2.48    2.46    0.02  254.55   1.756   1.000   1.000
   31    15.8    22.2     8.9    0.00    0.00    0.00    0.00    0.81    3.54    3.51    0.03  250.21   1.726   1.000   1.000
   32    15.8    23.3     0.0    0.00    0.00    0.00    0.00    0.37    3.32    3.29    0.03  246.52   1.700   1.000   1.000
   33     7.1    23.3     7.2    3.60    0.00    0.00    3.60    0.00    1.59    1.58    0.01  248.53   1.714   1.000   1.000
   34    12.3    21.7     6.7    0.00    0.00    0.00    0.00    0.20    2.68    2.66    0.02  245.64   1.694   1.000   1.000
   35    10.0    22.2    10.0    0.00    0.00    0.00    0.00    0.00    2.26    2.23    0.02  243.39   1.679   1.000   1.000
   36     1.2    16.1    12.2   43.70    0.00    0.02   43.68    0.00    0.26    0.25    0.00  286.82   1.978   1.000   1.000
   37     3.8    20.0    14.4    1.80    0.00    0.00    1.80    4.03    0.87    0.86    0.01  283.72   1.957   1.000   1.000
   38     2.9    17.2    12.8    1.30    0.00    0.00    1.30    3.72    0.63    0.62    0.01  280.67   1.936   1.000   1.000
   39    16.9    21.7     5.6    0.00    0.00    0.00    0.00    3.42    3.65    3.62    0.03  273.60   1.887   1.000   1.000
   40    17.8    16.1     3.9    0.00    0.00    0.00    0.00    2.71    3.50    3.46    0.03  267.39   1.844   1.000   1.000
   41    17.5    17.8    -2.2    0.00    0.00    0.00    0.00    2.09    3.32    3.29    0.03  261.99   1.807   1.000   1.000
   42    15.0    20.0    -0.6    0.00    0.00    0.00    0.00    1.55    2.99    2.96    0.03  257.45   1.776   1.000   1.000
   43    16.7    22.2     1.7    0.00    0.00    0.00    0.00    1.10    3.51    3.47    0.03  252.85   1.744   1.000   1.000
   44    17.3    23.9     7.8    0.00    0.00    0.00    0.00    0.64    3.92    3.89    0.04  248.29   1.712   1.000   1.000
   45    11.9    23.3     3.9    0.00    0.00    0.00    0.00    0.18    2.59    2.56    0.02  245.53   1.693   1.000   1.000
   46    13.9    25.6     8.3    0.00    0.00    0.00    0.00    0.00    3.24    3.19    0.03  242.31   1.671   1.000   1.000
   47    13.7    24.4    17.2   30.20    0.00    0.00   30.20    0.00    3.38    3.26    0.03  269.22   1.857   1.000   1.000
   48     8.8    17.8     9.4    0.00    0.00    0.00    0.00    2.27    1.87    1.85    0.02  265.08   1.828   1.000   1.000
   49     9.3    17.2    10.6    0.00    0.00    0.00    0.00    1.86    1.98    1.96    0.02  261.24   1.802   1.000   1.000
   50    17.2    20.0     6.1    0.00    0.00    0.00    0.00    1.47    3.65    3.62    0.03  256.12   1.766   1.000   1.000
   51     5.8    19.4    11.1    0.00    0.00    0.00    0.00    0.96    1.28    1.27    0.01  253.88   1.751   1.000   1.000
   52     2.1    16.7     7.2   32.50    0.00    0.00   32.50    0.74    0.43    0.43    0.00  285.21   1.967   1.000   1.000
   53     4.6    22.8    11.1   23.40    0.00    0.00   23.40    3.87    1.06    1.05    0.01  303.68   2.094   1.000   1.000
   54    15.2    20.6    10.0    0.00    0.00    0.00    0.00    5.72    3.37    3.34    0.03  294.60   2.032   1.000   1.000
   55     5.5    20.6    10.6    0.30    0.00    0.00    0.30    4.81    1.22    1.21    0.01  288.86   1.992   1.000   1.000
   56    12.8    23.3    12.2    1.00    0.00    0.00    1.00    4.24    2.99    2.96    0.03  282.64   1.949   1.000   1.000
   57     8.0    21.7    12.2    0.00    0.00    0.00    0.00    3.61    1.83    1.82    0.02  277.19   1.912   1.000   1.000
   58    15.1    27.8    12.2    0.00    0.00    0.00    0.00    3.07    3.73    3.69    0.03  270.39   1.865   1.000   1.000
   59    13.1    32.8    12.2    0.00    0.00    0.00    0.00    2.39    3.43    3.40    0.03  264.58   1.825   1.000   1.000
   60    16.5    27.2    12.8   44.70    0.00    0.05   44.65    1.81    4.06    4.03    0.04  303.36   2.092   1.000   1.000
   61     9.2    20.6     8.9    0.00    0.00    0.00    0.00    5.69    2.02    2.00    0.02  295.66   2.039   1.000   1.000
